#Entry,Positiv,Negativ,Strong,Weak
A,,,,
JOINER,,,,
JOINT,,,,
JOINTLY,Positiv,,Strong,
JOKE#1,Positiv,,,
JOKE#2,Positiv,,,
JOKE#3,Positiv,,,
JOKER,,,,
JOLLY,Positiv,,,
JORDAN,,,,
JOURNAL,,,,
JOURNALIST,,,,
JOURNEY#1,,,,
JOURNEY#2,,,,
JOY,Positiv,,,
JOYFUL,Positiv,,,
JOYOUS,,,,
JUBILANT,Positiv,,,
JUBILEE,Positiv,,,
JUDGE#1,,,Strong,
JUDGE#2,,,Strong,
JUDGE#3,,,Strong,
JUDGMENT#1,,,,
JUDGMENT#2,,,Strong,
JUDICIAL,,,Strong,
JUDICIOUS,,,,
JUG,,,,
JUICE,,,,
JUICY,,,,
JULY,,,,
JUMP#1,,,,
JUMP#2,,,,
JUMPY,,Negativ,,
JUNCTURE,,,,
JUNE,,,,
JUNGLE,,,,
JUNIOR#1,,,,
JUNIOR#2,,,,
JUNK,,Negativ,,
JUNTA,,,,
JURISDICTION,,,Strong,
JUROR,,,Strong,
JURY,,,Strong,
JUST#1,,,,
JUST#2,,,,
JUST#3,Positiv,,,
JUST#4,Positiv,,,
JUSTICE,Positiv,,,
JUSTIFIABLE,,,,
JUSTIFIABLY,Positiv,,,
JUSTIFICATION,Positiv,,,
JUSTIFY,Positiv,,,
JUVENILE,,,,
KANSAS,,,,
KEEL,,,,
KEEN,Positiv,,Strong,
KEEP#1,,,,
KEEP#2,,,Strong,
KEEP#3,,,,
KEEP#4,,,Strong,
KEEP#5,,,Strong,
KEEP#6,,,,
KEEP#7,,,,
KEEP#8,,,,
KEEPER,,,Strong,
KENTUCKY,,,,
KENYA,,,,
KEPT#1,,,,
KEY,,,,
KEYBOARD,,,,
KICK#1,,Negativ,Strong,
KICK#2,,,Strong,
KICK#3,,Negativ,Strong,
KICK#4,,Negativ,Strong,
KID#1,,,,
KID#2,Positiv,,,
KIDNAP,,Negativ,,
KIDNEY,,,,
KILL#1,,Negativ,Strong,
KILL#2,,Negativ,Strong,
KILLER,,Negativ,Strong,
KILOMETER,,,,
KILOMETRE#1,,,,
KIN,,,,
KIND#1,,,,
KIND#2,Positiv,,,
KIND#3,,,,
KIND#4,,,,
KIND#5,Positiv,,,
KINDLE,,,,
KINDNESS,Positiv,,,
KINDRED,,,,
KING,,,Strong,
KINGDOM,,,,
KISS#1,Positiv,,,
KISS#2,Positiv,,,
KITCHEN,,,,
KITTEN,,,,
KNEE,,,,
KNEEL,,,,Weak
KNELT,,,,Weak
KNEW,,,,
KNIFE#1,,,,
KNIFE#2,,Negativ,Strong,
KNIT,,,,
KNIVES#1,,,,
KNOCK#1,,Negativ,Strong,
KNOCK#2,,Negativ,Strong,
KNOCK#3,,Negativ,Strong,
KNOCK#4,,,,
KNOCKER,,,,
KNOW#1,,,,
KNOW#2,,,,
KNOW#3,Positiv,,,
KNOW#4,Positiv,,,
KNOW-HOW,,,,
KNOWLEDGE,Positiv,,Strong,
KNOWN#1,,,,
KNOWN#2,,,,
KOREA,,,,
KOREAN,,,,
KREMLIN,,,,
KUWAIT,,,,
LAB,,,,
LABEL#1,,,,
LABEL#2,,,,
LABOR#1,,,Strong,
LABOR#2,,,,
LABOR#3,,,Strong,
LABOR#4,,,Strong,
LABORATORY,,,,
LABORER,,,,
LABOUR#1,,,,
LABOURER#1,,,,
LACK#1,,Negativ,,Weak
LACK#2,,Negativ,,Weak
LACK#3,,Negativ,,Weak
LAD,,,,
LADDER,,,,
LADY,,,,
LAG,,Negativ,,Weak
LAID#1,,,,
LAID#2,,Negativ,,
LAIN,,,,
LAKE,,,,
LAMB,,,,
LAME,,Negativ,,Weak
LAMENT,,Negativ,,
LAMENTABLE,,Negativ,,
LAND#1,,,,
LAND#2,,,,
LAND#3,,,,
LANDLORD,,,Strong,
LANDMARK,,,,
LANDSCAPE,,,,
LANE,,,,
LANGUAGE,,,,
LANGUISH,,Negativ,,Weak
LAOS,,,,
LAPSE,,Negativ,,
LARGE#1,,,Strong,
LARGE#2,,,Strong,
LARGE#3,,,Strong,
LARGE#4,,,,
LARGE#5,,,,
LARGE-SCALE,,,,
LAST#1,,,,
LAST#2,,,,
LAST#3,,,,
LAST#4,,,Strong,
LAST#5,,,Strong,
LATE#1,,,,
LATE#2,,,,
LATE#3,,,,
LATE#4,,,,
LATE#5,,,,
LATE#6,,,,
LATENT,,,,
LATIN,,,,
LATTER#1,,,,
LATTER#2,,,,
LAUDABLE,Positiv,,,
LAUGH#1,Positiv,,,
LAUGH#2,Positiv,,,
LAUGH#3,,Negativ,,
LAUGH#4,,,,
LAUGH#5,Positiv,,,
LAUGH#6,Positiv,,,
LAUGHTER,Positiv,,,
LAUNCH,,,Strong,
LAVATORY,,,,
LAVISH,Positiv,,,
LAW,Positiv,,,
LAWFUL,Positiv,,,
LAWLESS,,Negativ,,
LAWN,,,,
LAWYER,,,,
LAY#1,,,,
LAY#2,,,,
LAY#3,,Negativ,Strong,
LAY#4,,,,
LAYER,,,,
LAZILY,,Negativ,,Weak
LAZY,,Negativ,,Weak
LEAD#1,,,Strong,
LEAD#2,,,,
LEAD#3,,,Strong,
LEAD#4,Positiv,,Strong,
LEAD#5,,,,
LEAD#6,,,,
LEADER,,,Strong,
LEADERSHIP,,,Strong,
LEAF,,,,
LEAGUE#1,,,Strong,
LEAGUE#2,,,Strong,
LEAGUE#3,,,,
LEAGUE-OF-NATIONS,,,,
LEAK,,Negativ,,
LEAKAGE,,Negativ,,
LEAN#1,,,,Weak
LEAN#2,,,,
LEAN#3,,,,Weak
LEAN#4,,,,
LEAP#1,,,,
LEAP#2,,,,
LEARN#1,,,,
LEARN#2,Positiv,,,
LEARN#3,Positiv,,,
LEARNER,Positiv,,,
LEAST#1,,,,
LEAST#2,,,,Weak
LEAST#3,,,,
LEAST#4,,,,
LEATHER,,,,
LEAVE#1,,,,
LEAVE#2,,,,
LEAVE#3,,,,
LEAVE#4,,,,
LEBANON,,,,
LECTURE#1,,,,
LECTURE#2,,,,
LED#1,,,,
LEDGE,,,,
LEDGER,,,,
LEFT#1,,,,
LEFT#2,,,,
LEFT#3,,,,
LEFT#4,,,,
LEFT#5,,,,
LEG,,,,
LEGAL,Positiv,,,
LEGEND,,,,
LEGION#1,,,,
LEGION#2,,,Strong,
LEGISLATION,,,Strong,
LEGISLATIVE,,,Strong,
LEGISLATOR,,,Strong,
LEGISLATURE,,,,
LEGITIMACY,Positiv,,,
LEGITIMATE,Positiv,,,
LEISURE,Positiv,,,
LEMON,,,,
LEMONADE,,,,
LEND,,,,
LENGTH#1,,,,
LENGTH#2,,,,
LENGTH#3,,,Strong,
LENGTHY,,,,
LENINISM,,,,
LENT,,,,
LESS#1,,,,Weak
LESS#2,,,,
LESS#3,,,,
LESS#4,,,,Weak
LESSEN,,,,
LESSON,,,,
LEST,,,,
LET#1,,,Strong,
LET#2,,,,
LET#3,,Negativ,,
LET#4,,,,
LET'S,,,,
LETTER#1,,,,
LETTER#2,,,,
LETTER#3,,,,
LETTER#4,,,,
LETTER#5,,,,
LEVEL#1,,,,
LEVEL#2,,,Strong,
LEVEL#3,,,,
LIABILITY,,Negativ,,Weak
LIABLE,,Negativ,,
LIAR,,Negativ,,
LIBERAL#1,,,,
LIBERAL#2,Positiv,,,
LIBERAL#3,Positiv,,,
LIBERALISM,Positiv,,,
LIBERALITY,,,,
LIBERALIZE,,,,
LIBERATE,Positiv,,,
LIBERATION,,,Strong,
LIBERIA,,,,
LIBERTY,Positiv,,,
LIBRARY,,,,
LIBYA,,,,
LICENSE,,,,
LICK,,,,
LIE#1,,,,
LIE#2,,Negativ,,
LIE#3,,Negativ,,
LIEUTENANT,,,Strong,
LIFE,,,,
LIFELESS,,Negativ,,Weak
LIFELONG,Positiv,,,
LIFETIME,,,,
LIFT,,,Strong,
LIGHT#1,Positiv,,,
LIGHT#2,,,,
LIGHT#3,Positiv,,,
LIGHT#4,,,,Weak
LIGHT#5,,,,
LIGHT#6,,,,
LIGHT#7,,,,
LIGHT#8,,,,
LIGHTEN,,,,
LIGHTNING,,,Strong,
LIGNITE,,,,
LIKABLE,Positiv,,,
LIKE#1,,,,
LIKE#2,Positiv,,,
LIKE#3,Positiv,,,
LIKELIHOOD,,,,
LIKELINESS,,,,
LIKELY#1,,,,
LIKELY#2,,,,
LIKEWISE,,,,
LIMB,,,,
LIMIT#1,,,,
LIMIT#2,,Negativ,Strong,
LIMIT#3,,Negativ,,Weak
LIMIT#4,,Negativ,,
LIMITATION,,Negativ,,
LIMITLESS,,,Strong,
LIMOUSINE,,,,
LIMP,,Negativ,,Weak
LINE#1,,,,
LINE#2,,,,
LINE#3,,,,
LINGUIST,,,,
LINK#1,,,,
LINK#2,,,,
LION,,,Strong,
LIONESS,,,Strong,
LIP,,,,
LIQUID,,,,
LIQUIDATE,,Negativ,Strong,
LIQUIDATION,,Negativ,Strong,
LIQUOR,,,,
LIST#1,,,,
LIST#2,,,,
LISTEN,,,,
LISTENER,,,,
LIT,,,,
LITERAL,,,,
LITERALLY,,,,
LITERALNESS,,,,
LITERARY,,,,
LITERATURE,,,,
LITIGANT,,,,
LITIGATION,,,,
LITTER,,Negativ,,
LITTLE,,,,Weak
LIVE#1,,,Strong,
LIVE#2,,,,
LIVE#3,,,Strong,
LIVE#4,,,,
LIVE#5,,,,
LIVE#6,Positiv,,Strong,
LIVELIHOOD,,,,
LIVELY,Positiv,,Strong,
LIVER,,,,
LIVERY,,,,
LIVESTOCK,,,,
LOAD#1,,,,
LOAD#2,,,Strong,
LOAD#3,,Negativ,,
LOAD#4,,,Strong,
LOAD#5,,,,
LOAD#6,,,,
LOAN#1,,,,
LOAN#2,,,,
LOBBY,,,,
LOCAL,,,,
LOCALE,,,,
LOCATE,,,,
LOCATION,,,,
LOCK#1,,,Strong,
LOCK#2,,,,
LODGE,,,,
LOG,,,,
LOGIC,Positiv,,,
LOGICAL,Positiv,,,
LONDON,,,,
LONE#1,,Negativ,,Weak
LONE#2,,,,Weak
LONELINESS,,Negativ,,Weak
LONELY,,Negativ,,Weak
LONER,,Negativ,,Weak
LONESOME,,Negativ,,
LONG#1,,,Strong,
LONG#2,,,,
LONG#3,,,,Weak
LONG#4,,,,Weak
LONG#5,,,,
LONG#6,,,,
LONG#7,,,,
LONG#8,,,,
LONG-RANGE,,,,
LONG-STANDING,,,,
LONG-TERM,,,,
LONGEVITY,Positiv,,Strong,
LOOK#1,,,,
LOOK#2,,,,
LOOK#3,,,,
LOOK#4,,,,
LOOK#5,,,,
LOOK#6,,,,
LOOK#7,,,,
LOOK#8,,,,Weak
LOOK#9,,,,
LOOK#_10,,,,
LOOK#_11,,,Strong,
LOOM,,Negativ,,
LOOP,,,,
LOOSE,,,,
LOOSENESS,,,,
LORD,,,,
LOSE#1,,Negativ,,Weak
LOSE#2,,Negativ,,Weak
LOSE#3,,,,
LOSER,,Negativ,,Weak
LOSS,,Negativ,,Weak
LOST#1,,Negativ,,Weak
LOST#2,,Negativ,,Weak
LOST#3,,Negativ,,Weak
LOST#4,,Negativ,,Weak
LOST#5,,,,
LOT#1,,,Strong,
LOT#2,,,Strong,
LOT#3,,,,
LOT#4,,,,
LOT#5,,,,
LOUD#1,,,Strong,
LOUD#2,,,Strong,
LOUD#3,,,Strong,
LOUD#4,,,Strong,
LOUD#5,,,Strong,
LOUISIANA,,,,
LOVE#1,Positiv,,,
LOVE#2,Positiv,,,
LOVE#3,Positiv,,,
LOVE#4,Positiv,,,
LOVE#5,,,Strong,
LOVE#6,,,,
LOVE#7,,,,
LOVELESS,,Negativ,,
LOVELINESS,Positiv,,,
LOVELY,Positiv,,,
LOVER#1,Positiv,,,
LOVER#2,Positiv,,,
LOW#1,,Negativ,,Weak
LOW#2,,Negativ,,Weak
LOW-COST,,,,
LOW-INCOME,,,,
LOWER#1,,Negativ,,Weak
LOWER#2,,,Strong,
LOWER#3,,,,
LOWLY,,Negativ,,Weak
LOYAL,Positiv,,,
LOYALTY,Positiv,,,
LUCID,Positiv,,,
LUCK,Positiv,,Strong,
LUCKILY,Positiv,,,
LUCKY,Positiv,,,
LUCRATIVE,Positiv,,,
LUDICROUS,,Negativ,,
LUGGAGE,,,,
LULL,,Negativ,,
LUMINOUS,Positiv,,,
LUNATIC,,Negativ,,
LUNCH,,,,
LUNCHEON,,,,
LUNG,,,,
LURE,,Negativ,,
LURK,,Negativ,,
LUST,Positiv,,,
LUSTER,Positiv,,,
LUSTROUS,Positiv,,,
LUXEMBERG,,,,
LUXURIANT,Positiv,,,
LUXURIOUS,Positiv,,,
LUXURY,Positiv,,,
LYING#1,,,,
LYING#2,,Negativ,,
LYING#3,,Negativ,,
LYRIC,Positiv,,,
LYRICAL,Positiv,,,
MA,,,,
MACHINE,,,,
MACHINERY,,,,
MAD#1,,Negativ,,
MAD#2,,Negativ,,Weak
MAD#3,,,,
MADAGASCAR,,,,
MADAME,,,,
MADE#1,,,,
MADMAN,,Negativ,,
MADNESS,,Negativ,,
MAGAZINE,,,,
MAGIC,,,,
MAGICAL,Positiv,,,
MAGICIAN,,,,
MAGNETIC,Positiv,,,
MAGNIFICENCE,Positiv,,,
MAGNIFICENT,Positiv,,Strong,
MAGNIFY,,,Strong,
MAGNITUDE,,,Strong,
MAHOGANY,,,,
MAID,,,,
MAIDEN,,,,
MAIL#1,,,,
MAIL#2,,,,
MAIN#1,Positiv,,Strong,
MAIN#2,,,Strong,
MAINE,,,,
MAINLAND,,,,
MAINTAIN#1,,,Strong,
MAINTAIN#2,,,Strong,
MAINTENANCE,,,,
MAJESTIC,Positiv,,,
MAJESTY,Positiv,,,
MAJOR#1,Positiv,,Strong,
MAJOR#2,,,,
MAJOR#3,,,,
MAJORITY,,,Strong,
MAKE#1,,,Strong,
MAKE#2,,Negativ,Strong,
MAKE#3,,,Strong,
MAKE#4,,,,
MAKE#5,,,,
MAKE#6,Positiv,,,
MAKE#7,Positiv,,,
MAKE#8,,,Strong,
MAKE#9,,,,
MAKE#_10,,,,
MAKE#_11,,,,
MAKE#_12,,,,
MAKE#_13,,,,
MAKE#_14,,,,
MAKE#_15,,,,
MAKE#_16,,,,
MAKER,,,,
MALADJUSTED,,Negativ,,Weak
MALADJUSTMENT,,Negativ,,Weak
MALADY,,Negativ,,Weak
MALAYA,,,,
MALAYSIA,,,,
MALE,,,,
MALI,,,,
MALICE,,Negativ,,
MALICIOUS,,Negativ,,
MALIGNANT,,Negativ,,
MALTA,,,,
MAMA,,,,
MAN#1,,,,
MAN#2,,,,
MAN#3,,,,
MANAGE#1,,,Strong,
MANAGE#2,,,Strong,
MANAGE#3,,,Strong,
MANAGEABLE,Positiv,,Strong,
MANAGEMENT,,,Strong,
MANAGER,,,Strong,
MANAGERIAL,,,Strong,
MANCHESTER,,,,
MANEUVER,,,Strong,
MANGLE,,Negativ,,
MANIFEST#1,,,,
MANIFEST#2,,,,
MANIFESTATION,,,,
MANIPULATE,,Negativ,Strong,
MANIPULATION,,Negativ,,
MANKIND,,,,
MANLY,Positiv,,Strong,
MANNER#1,,,,
MANNER#2,,,,
MANNER#3,,,,
MANNER#4,,,,
MANOEUVRE#1,,,,
MANPOWER,,,Strong,
MANSION,,,,
MANSLAUGHTER,,Negativ,,
MANTLE,,,,
MANUFACTURE,,,Strong,
MANUFACTURER,,,Strong,
MANURE,,,,
MANY#1,,,Strong,
MANY#2,,,Strong,
MAP,,,,
MAPLE,,,,
MAR#1,,Negativ,Strong,
MAR#2,,Negativ,Strong,
MARBLE,,,,
MARCH#1,,,,
MARCH#2,,,Strong,
MARCH#3,,,Strong,
MARCHER,,,Strong,
MARE,,,,
MARGINAL,,Negativ,,
MARINE#1,,,,
MARINE#2,,,,
MARITAL,Positiv,,,
MARITIME,,,,
MARK#1,,,,
MARK#2,,,Strong,
MARK#3,,,,
MARK#4,,,,
MARK#5,,,,
MARKER,,,,
MARKET#1,,,,
MARKET#2,,,,
MARKET#3,,,,
MARKSMAN,,,,
MARRIAGE,Positiv,,,
MARROW,,,,
MARRY#1,Positiv,,,
MARRY#2,Positiv,,,
MARSH,,,,
MARSHALL,,,,
MARSHALL-PLAN,,,,
MARVEL,Positiv,,,
MARVELOUS,Positiv,,,
MARXISM,,,,
MARYLAND,,,,
MASCULINE,,,Strong,
MASS#1,,,Strong,
MASS#2,,,Strong,
MASS#3,,,Strong,
MASS#4,,,,
MASSACHUSETTS,,,,
MASSACRE,,Negativ,,
MASSES,,,,
MASSIVE,,,Strong,
MAST,,,,
MASTER#1,,,Strong,
MASTER#2,,,Strong,
MASTERFUL,Positiv,,Strong,
MASTERY,Positiv,,Strong,
MAT,,,,
MATCH#1,,,Strong,
MATCH#2,,,Strong,
MATCHLESS,Positiv,,,
MATE#1,Positiv,,,
MATE#2,Positiv,,,
MATERIAL#1,,,,
MATERIAL#2,,,,
MATERIAL#3,,,Strong,
MATERNAL,,,,
MATERNITY,,,,
MATH,,,,
MATHEMATICAL,,,,
MATHEMATICS,,,,
MATRICULATE,,,,
MATTER#1,,,,
MATTER#2,,,,
MATTER#3,,,,
MATTER#4,Positiv,,Strong,
MATTER#5,,Negativ,,
MATTER#6,,,,
MATTER#7,,,,
MATURE#1,Positiv,,Strong,
MATURE#2,Positiv,,Strong,
MATURE#3,Positiv,,Strong,
MATURITY,Positiv,,Strong,
MAURITIUS,,,,
MAXIM,,,,
MAXIMIZATION,,,Strong,
MAXIMIZE,Positiv,,,
MAXIMUM,,,Strong,
MAY#1,,,,
MAY#2,,,,
MAYBE,,,,
MAYOR,,,Strong,
MCGOVERN,,,,
ME,,,,
MEAGER,,Negativ,,Weak
MEAL,,,,
MEAN#1,,,,
MEAN#2,,Negativ,,
MEAN#3,,,,
MEAN#4,,,,
MEAN#5,,,,
MEAN#6,,,,
MEAN#7,,,,
MEAN#8,,,,
MEANING,,,,
MEANINGFUL,Positiv,,,
MEANINGLESS,,Negativ,,Weak
MEANT,,,,
MEANTIME,,,,
MEANWHILE,,,,
MEASURABLE,Positiv,,,
MEASURE#1,,,,
MEASURE#2,,,,
MEASURE#3,,,,
MEASURE#4,,,Strong,
MEASURE#5,,,,
MEASURE#6,,,,
MEASURE#7,,,,
MEASURELESS,,,,
MEASUREMENT,,,,
MEAT,,,,
MECHANIC,,,,
MECHANISM,,,,
MEDAL,,,,
MEDDLE,,Negativ,,
MEDIA,,,,
MEDIATE,Positiv,,,
MEDIATION,,,,
MEDIATOR,,,,
MEDICAL,,,,
MEDICARE,,,,
MEDICINE#1,,,,
MEDICINE#2,,,,
MEDIEVAL,,,,
MEDIOCRE,,Negativ,,Weak
MEDITATION,Positiv,,,
MEDITERRANEAN,,,,
MEDIUM,,,,
MEEK,,Negativ,,Weak
MEET#1,,,,
MEET#2,,,,
MEET#3,,,,
MEET#4,,,,
MEET#5,Positiv,,,
MELANCHOLY,,Negativ,,
MELLOW,Positiv,,,
MELODRAMATIC,,Negativ,,
MELODY,Positiv,,,
MELT,,,,Weak
MEMBER,,,,
MEMBERSHIP,,,,
MEMORABLE,Positiv,,,
MEMORY#1,,,,
MEMORY#2,,,,
MEN,,,,
MENACE,,Negativ,Strong,
MEND,Positiv,,,
MENIAL,,Negativ,,Weak
MENTAL,,,,
MENTALITY,,,,
MENTION#1,,,,
MENTION#2,,,,
MENTOR,Positiv,,,
MERCHANDISE,,,,
MERCHANT,,,,
MERCHANTILE,,,,
MERCIFUL,Positiv,,,
MERCILESS,,Negativ,Strong,
MERCY,Positiv,,,
MERE#1,,,,Weak
MERE#2,,,,Weak
MERGE,,,,
MERGER,,,,
MERIT#1,Positiv,,,
MERIT#2,Positiv,,Strong,
MERITORIOUS,Positiv,,,
MERRILY,Positiv,,,
MERRIMENT,Positiv,,,
MERRY,Positiv,,,
MESH,Positiv,,,
MESS#1,,Negativ,,
MESS#2,,Negativ,,
MESS#3,,,,
MESSAGE,,,,
MESSENGER,,,,
MET#1,,,,
METAL,,,,
METAPHYSICAL,,,,
METAPHYSICS,,,,
METEOR,,,,
METEORITE,,,,
METER,,,,
METHOD,,,,
METHODICAL,,,Strong,
METICULOUS,Positiv,,,
METROPOLIS,,,,
METROPOLITAN,,,,
MEXICAN,,,,
MEXICO,,,,
MICE,,,,
MICHIGAN,,,,
MIDDLE,,,,
MIDDLE-CLASS,,,,
MIDNIGHT,,,,
MIDST,,,,
MIGHT#1,,,,
MIGHT#2,,,Strong,
MIGHTY,Positiv,,Strong,
MIGRATION,,,,
MILD,Positiv,,,
MILE,,,,
MILITARY,,,Strong,
MILITIA,,,Strong,
MILK,,,,
MILL#1,,,,
MILL#2,,,,
MILL#3,,,,
MILLER,,,,
MILLION,,,,
MILLIONTH#1,,,,
MIND#1,,,,
MIND#2,,,,
MIND#3,,,,Weak
MIND#4,,,,
MIND#5,,,,
MIND#6,,,,
MIND#7,,,,
MIND#8,,,,
MIND#9,,Negativ,,Weak
MIND#_10,Positiv,,,
MIND#_11,,,,
MIND#_12,,,,
MIND#_13,,,,
MIND#_14,,,,
MINDFUL,Positiv,,,
MINE#1,,,,
MINE#2,,,,
MINE#3,,Negativ,Strong,
MINE#4,,,,
MINER,,,,
MINERAL,,,,
MINGLE,,,,
MINIMAL,,,,Weak
MINIMIZE,,,Strong,
MINIMUM,,,,Weak
MINISTER#1,,,Strong,
MINISTER#2,,,Strong,
MINISTER#3,,,,
MINISTER#4,Positiv,,,
MINISTERIAL,,,,
MINISTRY,,,Strong,
MINNESOTA,,,,
MINOR,,,,Weak
MINORITY,,,,Weak
MINT,Positiv,,,
MINUS,,,,
MINUTE,,,,
MINUTEMEN,,,,
MIRACLE,Positiv,,,
MIRACULOUS,Positiv,,,
MIRROR,,,,
MIRTH,Positiv,,,
MISBEHAVE,,Negativ,,
MISBEHAVIOR,,Negativ,,
MISCARRIAGE,,,,
MISCHIEF,,Negativ,,
MISCHIEVOUS,,Negativ,,
MISER,,Negativ,,
MISERABLE,,Negativ,,Weak
MISERY,,Negativ,,Weak
MISFORTUNE,,Negativ,,Weak
MISGUIDE#1,,,,
MISGUIDE#2,,,,
MISHANDLE,,Negativ,,
MISHAP,,Negativ,,
MISINFORM,,Negativ,,
MISINFORMED,,Negativ,,
MISLEAD,,Negativ,,
MISLED,,,,
MISMANAGEMENT,,,,
MISREPRESENT,,Negativ,,
MISS#1,,Negativ,,Weak
MISS#2,,,,
MISS#3,,,,Weak
MISS#4,,,,
MISS#5,,,,
MISSILE,,,Strong,
MISSION,,,,
MISSIONARY,,,,
MISSISSIPPI,,,,
MISSOURI,,,,
MIST,,,,
MISTAKE#1,,Negativ,,
MISTAKE#2,,Negativ,,
MISTAKE#3,,Negativ,,
MISTAKEN,,Negativ,,
MISTER,,,,
MISTOOK,,,,
MISTREAT,,,,
MISTREATMENT,,,,
MISTRESS,,,,
MISTRUST,,Negativ,,
MISUNDERSTAND,,Negativ,,
MISUNDERSTANDING,,Negativ,,
MISUNDERSTOOD,,Negativ,,
MISUSE,,Negativ,,
MITIGATE,,,,
MIX#1,,,,
MIX#2,,,,
MIX#3,,Negativ,,Weak
MIX#4,,,,Weak
MIX#5,,,,
MIXTURE,,,,
MOAN,,Negativ,,
MOB,,,,
MOBILE,,,Strong,
MOBILITY,Positiv,,,
MOBILIZE,Positiv,,,
MOCK,,Negativ,,
MOCKERY,,Negativ,,
MODE,,,,
MODERATE,Positiv,,,
MODERATION,Positiv,,,
MODERN#1,,,,
MODERN#2,,,,
MODERNITY,Positiv,,,
MODERNIZATION,,,,
MODEST,Positiv,,,Weak
MODESTY,Positiv,,,
MODIFICATION,,,,
MODIFY,,,Strong,
MOISTURE,,,,
MOLD#1,,,,
MOLD#2,,,Strong,
MOLECULAR,,,,
MOLEST,,Negativ,,
MOMENT,,,,
MOMENTARY,,,,Weak
MOMENTOUS,Positiv,,,
MOMENTUM,,,Strong,
MONARCH,,,,
MONARCHY,,,,
MONDAY,,,,
MONETARY,,,,
MONEY,,,,
MONGOLIA,,,,
MONITOR,,,Strong,
MONKEY,,,,
MONOPOLY,,,Strong,
MONOTONOUS,,Negativ,,
MONOTONY,,Negativ,,
MONSTER,,Negativ,Strong,
MONSTROUS,,Negativ,Strong,
MONTANA,,,,
MONTH#1,,,,
MONTH#2,,,,
MONTH#3,,,,
MONUMENT,,,Strong,
MONUMENTAL,Positiv,,,
MOOD,,,,
MOODY,,Negativ,,
MOON,,,,
MORAL,Positiv,,,
MORALE,Positiv,,,
MORALISTIC,Positiv,,,
MORALITY,Positiv,,,
MORE,,,Strong,
MOREOVER,,,,
MORNING,,,,
MOROCCO,,,,
MORTALITY,,,,
MORTAR,,,,
MORTGAGE#1,,,,
MORTGAGE#2,,,,
MORTIFY,,Negativ,,
MOSCOW,,,,
MOST#1,,,Strong,
MOST#2,,,Strong,
MOST#3,,,Strong,
MOST#4,,,,
MOTEL,,,,
MOTH,,,,
MOTHER,,,,
MOTION,,,,
MOTIONLESS,,Negativ,,
MOTIVATE,Positiv,,,
MOTIVATED,Positiv,,,
MOTIVATION,Positiv,,,
MOTIVE,Positiv,,,
MOTLEY,,Negativ,,
MOTOR,,,,
MOTORIST,,,,
MOTTLED,,,,
MOUND,,,,
MOUNT#1,,,,
MOUNT#2,,,,
MOUNTAIN,,,,
MOURN#1,,Negativ,,Weak
MOURN#2,,Negativ,,Weak
MOURNER,,Negativ,,
MOUSE,,,,
MOUTH#1,,,,
MOUTH#2,,,,
MOUTH#3,,,,
MOUTH#4,,,,
MOVABLE,,,,
MOVE#1,,,Strong,
MOVE#2,,,Strong,
MOVE#3,,,Strong,
MOVE#4,,,Strong,
MOVE#5,,,,
MOVEMENT,,,Strong,
MOVER,,,Strong,
MOVIE,,,,
MOZAMBIQUE,,,,
MPH,,,,
MR.,,,,
MRS.,,,,
MS.,,,,
MUCH,,,Strong,
MUD,,,,
MUDDLE,,Negativ,,
MUDDY,,Negativ,,
MUFFLE#1,,,,
MUFFLE#2,,,Strong,
MULE,,,,
MULTILATERAL-FORCE,,,,
MULTIPLE,,,Strong,
MULTIPLICATION,,,Strong,
MULTIPLY,,,Strong,
MULTITUDE,Positiv,,,
MUMBLE,,Negativ,,
MUNDANE,,Negativ,,
MUNICIPAL,,,,
MUNICIPALITY,,,,
MUNITION,,,,
MURDER#1,,Negativ,Strong,
MURDER#2,,Negativ,Strong,
MURDERER,,,,
MURDEROUS,,Negativ,,
MURKY,,Negativ,,
MURMUR#1,,,,Weak
MURMUR#2,,,,Weak
MUSCLE,,,Strong,
MUSCULAR,,,Strong,
MUSEUM,,,,
MUSIC,,,,
MUSICAL,,,,
MUSICIAN,,,,
MUST#1,,,,
MUST#2,,,,
MUSTER,,,Strong,
MUTTER,,Negativ,,Weak
MUTTON,,,,
MUTUAL#1,Positiv,,,
MUTUAL#2,Positiv,,,
MY,,,,
MYRIAD,Positiv,,,
MYSELF#1,,,,
MYSELF>#1,,,,
MYSELF>#2,,,,Weak
MYSELF>#3,,Negativ,,Weak
MYSTERIOUS,,,,
MYSTERY,,,,
MYSTIC,,,,
MYSTICAL,,,,
MYTH,,,,
NAG#1,,,,
NAG#2,,Negativ,,
NAIL#1,,,,
NAIL#2,,,,
NAIVE,,Negativ,,Weak
NAKED,,,,
NAME#1,,,,
NAME#2,,,,
NAME#3,,,,
NAME#4,,,,Weak
NAME#5,,,,
NAME#6,,,,
NARRATIVE,,,,
NARROW,,,,Weak
NASTY,,Negativ,,
NATION,,,,
NATIONAL,,,,
NATIONALISM,,,,
NATIONALIST,,,,
NATIONALISTIC,,,,
NATIONALITY,,,,
NATIVE#1,,,,
NATIVE#2,,,,
NATURAL#1,Positiv,,,
NATURAL#2,Positiv,,,
NATURALIZATION,,,,
NATURE#1,,,,
NATURE#2,,,,
NAUGHTY,,Negativ,,
NAVAL,,,Strong,
